,scores,mols
0,-0.2838186404156417,"4-{[4-Amino-6-(2,6-dichlorophenoxy)-1,3,5-triazin-2-yl]amino}benzonitrile"
1,-0.27524980961009143,2-Amino-6-fluorobenzonitrile
2,-0.2450273298243715,Menichlopholan
3,-0.15124456730204772,Azosemide
4,-0.12599098402377576,"Phosphoric acid, decyl ester, compd. with 2,2',2''-nitrilotris[ethanol]"
5,-0.12032886545187203,"Tetradecanamide, N-[3-(dimethylamino)propyl]-"
6,-0.09597552382967209,"5-[3-(3-Hydroxyphenoxy)azetidin-1-yl]-5-methyl-2,2-diphenylhexanamide"
7,-0.08761381016400238,"(4-((4-(Diethylamino)phenyl)phenylmethylene)-2,5-cyclohexadien-1-ylidene)diethylammonium acetate"
8,-0.07920888498449233,Calcium nonan-1-oate
9,-0.07920888498449233,"[2,3-Dichloro-4-(1H-tetrazol-5-ylmethoxy)phenyl] 2-thienyl ketone"
10,-0.0778852729253861,NS00021061
11,-0.06928924923571927,1-Acetyl-2-thiourea
12,-0.06312629710505045,"Calcium 3,5,5-trimethylhexanoate"
13,-0.061977214923282224,"6-[(P-tosyl)amino]hexanoic acid, compound with 2,2',2''-nitrilotriethanol (1:1)"
14,-0.05429679700443475,"1-Tert-butyl-4,4-diphenylpiperidinium chloride"
15,-0.05334866952408327,"Furan-2,5-dicarbonitrile"
16,-0.05334866952408327,2-Chloro-N-[2-hydroxy-3-(methylphenylamino)propyl]benzamide
17,-0.047165463667847074,"6-Allyl-6,7-dihydro-5H-dibenz[c,e]azepinium dihydrogen phosphate"
18,-0.047165463667847074,6-[Methyl[(3-nitrophenyl)sulphonyl]amino]hexanoic acid
19,-0.047165463667847074,"3,4-Dichloro-N-{[1-(4-methyl-1-piperazinyl)cyclohexyl]methyl}benzamide"
20,-0.044349185354834786,"(3a-Hydroxy-7a-methyl-6-oxohexahydro-2H-2,5-methano-1,3-benzodioxol-8-yl)methyl benzoate (Paeoniflorigenone)"
21,-0.041551802086587014,Pheniramine 4-aminosalicylate
22,-0.04146355844884094,"N-(2,3-Dihydro-1H-inden-2-yl)-2-[(5-methyl-1H-benzimidazol-2-yl)thio]acetamide"
23,-0.04006980389561352,"1,4-Dibromobutane-2,3-diyl diacetate"
24,-0.039507026458717995,N-(3-Chloro-4-fluorophenyl)-N'-(3-morpholinopropyl)thiourea
25,-0.03865871368620167,5-(Acetamido)-2-[2-[[5-(acetamido)-3-ethyl-3H-benzoxazol-2-ylidene]methyl]but-1-enyl]-3-ethylbenzoxazolium perchlorate
26,-0.03778918865048014,(2-Hydroxyethyl)ammonium mercaptoacetate
27,-0.03713022233101925,Sodium (3-cyclohexen-1-ylhydroxymethyl)phosphinate
28,-0.036477230285576236,2-Acetamido-6-chlorobenzoic acid
29,-0.03452952056194806,Carisbamate
30,-0.03452952056194806,Florox reagent
31,-0.03427256932956698,Potassium 1H-indole-3-acetate
32,-0.03427256932956698,"1,4-Dichloro-2-nitrobenzene"
33,-0.03427256932956698,"Benzene, 1,3-dichloro-5-nitro-"
34,-0.03427256932956698,"[2-[4-[(4-Amino-9,10-dihydro-9,10-dioxo-1-anthryl)amino]phenoxy]ethyl]trimethylammonium methyl sulphate"
35,0.03343895871369581,"2,5-Bis(benzyloxy)-3,4-dihydroxy-n-(2-hydroxy-2,3-dihydro-1h-inden-1-yl)-n'-[2-methyl-1-(methylcarbamoyl)propyl]hexanediamide"
36,0.034673451442417604,Fisetin
37,0.03582553523663504,O-Octyl hydrogen dithiocarbonate
38,0.03582553523663504,Potassium O-(2-ethylhexyl) dithiocarbonate
39,0.03670372642435829,Isopentyl dithiocarbonate
40,0.03755001568595992,Benzethonium chloride
41,0.03787499042528876,Amylxanthane
42,0.03892455600334932,"4-[2-(2-Methoxyethoxy)ethoxy]benzene-1,3-diamine dihydrochloride"
43,0.04315871932310261,2-Cyano-3-(diphenylamino)acrylamide
44,0.04315871932310261,"Benzyl 4-[4-methyl-2-(3-methyl-2-{2-[(5-methyl-1,2-oxazol-3-yl)formamido]propanamido}butanamido)pentanamido]-5-(2-oxopyrrolidin-3-yl)pent-2-enoate"
45,0.04315871932310261,Potassium 2-methylbutyl dithiocarbonate
46,0.04315871932310261,NS00042160
47,0.04320399377625742,"Benzenesulfonic acid, nitro-"
48,0.047679823229387144,"Chromeno(3,4-b)(1,4)benzothiazin-6(12H)-one"
49,0.048584910664243905,"4-[(Dimethylamino)methylidene]-2-[2-(methylthio)-3-pyridyl]-4,5-dihydro-1,3-oxazol-5-one"
