,sample_id,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,LD1,LD2
0,21494,21494,LIFE APEX,Real Sample,LIFE APEX 51 Otter liver from Skane,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Malmo,Sweden,55.6989,13.034828,1,Dry weight,Otter,,,Skane,,River,,Skane,,Other (22510),Liver,,,Sweden,biota,1.5476934271364302,1.962634207273617
1,19138,19138,LIFE APEX,Real Sample,LIFE APEX 172 Short-beaked common dolphin liver pooled from Galicia,"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #11,Santiago de Compostela,Spain,42.786558,-9.044288,1,Wet weight,Short-beaked common dolphin,,,,2.0,Marine environment,,,,Fish (22486),Liver,70.76452599,,Spain,biota,5.261678854114393,-4.155081615442867
2,21540,21540,LIFE APEX,Real Sample,LIFE APEX 27 Harbour Porpoise liver from UK 02,"Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Kingston upon Hull,UK,53.248961,0.58746,1,Dry weight,Harbour Porpoise,,,Marine water of UK,,Marine environment,,Marine water of UK,,Fish (22486),Liver,,,UK,biota,5.271011807367101,-4.0405010476781555
3,19091,19091,LIFE APEX,Real Sample,LIFE APEX 159 Eurasian Otter liver pooled from Western Hungary,"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #10,Zalaegerszeg,Hungary,46.864745,16.862463,1,Wet weight,Eurasian Otter,,,,3.0,Terrestrial environment,,,,Other (22510),Liver,71.52992421,,Hungary,biota,1.5252566337456501,1.687177933582249
4,19999,19999,LIFE APEX,Real Sample,LIFE APEX 72 Bream Muscle from Rhine Bimmen (2004),"Thu, 01/01/2004 - 22:00","Thu, 11/27/2003 - 22:00",LC-Bruker maXis QTOF: Submission #11,Bimmen,Germany,51.86051,6.071775,1,Wet weight,"Bream, Abramis brama",,,Rhine River,,River,,Rhine River Basin,,Fish (22486),Muscle,79.0,,Germany,biota,5.3487044797921515,-3.0866689351030265
5,19171,19171,LIFE APEX,Real Sample,LIFE APEX 138 Grey Seal liver pooled from Baltic Sea,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #10,Husum,Germany,54.474786,9.007344,1,Wet weight,Grey Seal,,,,1.0,Marine environment,,,,Other (22510),Liver,74.57685002,,Germany,biota,1.4998546554155938,1.3753181159458983
6,19156,19156,LIFE APEX,Real Sample,LIFE APEX 163 Grey Seal liver pooled from east and north Scotland,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #11,Glasgow,UK,55.935933,-4.564525,1,Wet weight,Grey Seal,,,,6.0,Marine environment,,,,Other (22510),Liver,68.88072709,,UK,biota,1.5264769211778215,1.702159389401206
7,19977,19977,LIFE APEX,Real Sample,LIFE APEX 82 Harbour Seal liver from North Sea (2002),"Tue, 01/01/2002 - 22:00","Tue, 11/27/2001 - 22:00",LC-Bruker maXis QTOF: Submission #11,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,67.0,,Germany,biota,1.5611172010677388,2.12743773697602
8,19052,19052,LIFE APEX,Real Sample,"LIFE APEX 195 Buzzard liver pooled from Coimbra, Viseu","Sun, 02/02/2020 - 22:00","Sun, 12/29/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Coimbra,Portugal,40.224815,-8.319192,1,Wet weight,Buzzard,,,,2.0,Terrestrial environment,,,,Bird (22511),Liver,72.0,,Portugal,biota,-22.870489097190497,-1.5722836261065845
9,19099,19099,LIFE APEX,Real Sample,LIFE APEX 153 Eurasian Otter liver pooled from Southern Bohemia,"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #10,Brno,Czech Republic,49.237417,16.514217,1,Wet weight,Eurasian Otter,,,,2.0,Terrestrial environment,,,,Other (22510),Liver,68.02188089,,Czech Republic,biota,1.5099397045598906,1.499132156967737
10,19978,19978,LIFE APEX,Real Sample,LIFE APEX 82 Harbour Seal liver from North Sea (2002),"Tue, 01/01/2002 - 22:00","Tue, 11/27/2001 - 22:00",LC-Bruker maXis QTOF: Submission #10,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,67.0,,Germany,biota,1.5710808657207511,2.2497615418899297
11,21587,21587,LIFE APEX,Real Sample,LIFE APEX 04 Bream Muscle from Belauer See,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #11,Neumunster,Germany,54.07,9.98,1,Dry weight,Bream,,,Belauer See,,Lake,,Belauer See,,Fish (22486),Muscle,,,Germany,biota,5.281742631278573,-3.908758836712347
12,21491,21491,LIFE APEX,Real Sample,LIFE APEX 52 Otter liver from Norrbotten,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Kiruna,Sweden,67.934516,20.379767,1,Dry weight,Otter,,,Norrbotten,,River,,Norrbotten,,Other (22510),Liver,,,Sweden,biota,1.5515741796676643,2.0102781648019032
13,19974,19974,LIFE APEX,Real Sample,LIFE APEX 84 Harbour Seal liver from North Sea (2004),"Thu, 01/01/2004 - 22:00","Thu, 11/27/2003 - 22:00",LC-Bruker maXis QTOF: Submission #10,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,72.0,,Germany,biota,1.5336828890849648,1.790626980712713
14,19971,19971,LIFE APEX,Real Sample,LIFE APEX 85 Harbour Seal liver from North Sea (2005),"Sat, 01/01/2005 - 22:00","Sat, 11/27/2004 - 22:00",LC-Bruker maXis QTOF: Submission #11,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,69.0,,Germany,biota,1.519942774102844,1.621939735296422
15,19173,19173,LIFE APEX,Real Sample,"LIFE APEX 137 White-tailed Sea Eagle Muscle pooled from Sodermanland, Uppland","Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Uppsala,Sweden,59.837659,17.547826,1,Wet weight,White-tailed Sea Eagle,,,,2.0,Terrestrial environment,,,,Bird (22511),Muscle,67.0,,Sweden,biota,-22.84195774412173,-1.2220045081040867
16,21483,21483,LIFE APEX,Real Sample,LIFE APEX 56 Harbour Seal liver from Oresund,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #11,Malmo,Sweden,55.653598,12.900543,1,Dry weight,Otter Seal,,,Oresund,,Coastal region,,Oresund,,Other (22510),Liver,,,Sweden,biota,1.5070767626338275,1.4639838494083783
17,19940,19940,LIFE APEX,Real Sample,LIFE APEX 100 Buzzard liver from England (2003),"Wed, 01/01/2003 - 22:00","Wed, 11/27/2002 - 22:00",LC-Bruker maXis QTOF: Submission #10,London,UK,51.329021,0.379717,0,Wet weight,"Buzzard, Buteo buteo",,,UK,,Terrestrial environment,,,,Other (22510),Liver,69.87417919,,Canada,biota,1.535628394011956,1.8145119239976593
18,19902,19902,LIFE APEX,Real Sample,"LIFE APEX 118 Otter liver from England and Wales (2003, 2004)","Thu, 01/01/2004 - 22:00","Thu, 11/27/2003 - 22:00",LC-Bruker maXis QTOF: Submission #10,London,UK,51.57467,-1.067028,0,Wet weight,"Eurasian Otter, Lutra lutra",,,UK,,River,,,,Other (22510),Liver,65.0,,Canada,biota,1.5393498231343457,1.8601998697308277
19,19113,19113,LIFE APEX,Real Sample,LIFE APEX 146 Eurasian Otter liver pooled from Midlands England,"Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Birmingham,UK,52.479417,-1.933885,1,Wet weight,Eurasian Otter,,,,3.0,Terrestrial environment,,,,Other (22510),Liver,68.16586162,,UK,biota,1.5127733026132126,1.5339202101138982
20,19958,19958,LIFE APEX,Real Sample,LIFE APEX 92 Harbour Seal liver from North Sea (2012),"Sun, 01/01/2012 - 22:00","Sun, 11/27/2011 - 22:00",LC-Bruker maXis QTOF: Submission #10,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,73.0,,Germany,biota,1.561048330706158,2.126592216279777
21,21480,21480,LIFE APEX,Real Sample,LIFE APEX 58 Grey Seal liver from Baltic Proper,"Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,Kalmar,Sweden,55.961274,16.058707,1,Dry weight,Grey Seal,,,Baltic Sea,,Coastal region,,Baltic Sea,,Other (22510),Liver,,,Sweden,biota,1.5311286011551544,1.7592680149803182
22,21589,21589,LIFE APEX,Real Sample,LIFE APEX 03 Bream Muscle from Rhine Bimmen,"Thu, 01/01/2015 - 22:00","Thu, 11/27/2014 - 22:00",LC-Bruker maXis QTOF: Submission #11,Emmerich,Germany,51.85,6.24,1,Dry weight,Bream,,,Rhine river basin,,River,,Rhine river basin,,Fish (22486),Muscle,,,Germany,biota,5.2838112852994135,-3.8833619933124766
23,19925,19925,LIFE APEX,Real Sample,LIFE APEX 107 Buzzard liver from England (2013),"Tue, 01/01/2013 - 22:00","Tue, 11/27/2012 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.329021,0.379717,0,Wet weight,"Buzzard, Buteo buteo",,,UK,,Terrestrial environment,,,,Other (22510),Liver,71.55548958,,Canada,biota,1.5853149492612983,2.424513234041693
24,19169,19169,LIFE APEX,Real Sample,"LIFE APEX 140 Bottlenose dolphin liver pooled from Pellestrina, Sestri Levante, Genova","Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Genova,Italy,44.388246,8.990696,1,Wet weight,Bottlenose dolphin,,,,2.0,Marine environment,,,,Fish (22486),Liver,72.82337025,,Italy,biota,5.272667858930298,-4.02016972026058
25,19992,19992,LIFE APEX,Real Sample,LIFE APEX 76 Bream Muscle from Rhine Bimmen (2012),"Sun, 01/01/2012 - 22:00","Sun, 11/27/2011 - 22:00",LC-Bruker maXis QTOF: Submission #10,Bimmen,Germany,51.86051,6.071775,1,Wet weight,"Bream, Abramis brama",,,Rhine River,,River,,Rhine River Basin,,Fish (22486),Muscle,77.0,,Germany,biota,5.240941570666006,-4.409673023657403
26,19955,19955,LIFE APEX,Real Sample,LIFE APEX 93 Harbour Seal liver from North Sea (2013),"Tue, 01/01/2013 - 22:00","Tue, 11/27/2012 - 22:00",LC-Bruker maXis QTOF: Submission #11,Cuxhaven,Germany,54.082933,8.48307,1,Wet weight,"Harbour Seal, Phoca vitulina",,,North Sea,,Coastal region,,North Sea Basin,,Other (22510),Liver,73.0,,Germany,biota,1.5036575400643835,1.4220060903094598
27,21560,21560,LIFE APEX,Real Sample,LIFE APEX 17 Roach Muscle from River Lea (Wheathampstead),"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #10,Luton,UK,51.813566,-0.292979,1,Dry weight,Roach,,,Lea River Basin,,River,,Lea River Basin,,Fish (22486),Muscle,,,UK,biota,5.257760946518459,-4.203181725304636
28,19886,19886,LIFE APEX,Real Sample,LIFE APEX 126 Otter liver from England and Wales (2013),"Tue, 01/01/2013 - 22:00","Tue, 11/27/2012 - 22:00",LC-Bruker maXis QTOF: Submission #10,London,UK,51.57467,-1.067028,0,Wet weight,"Eurasian Otter, Lutra lutra",,,UK,,River,,,,Other (22510),Liver,68.0,,Canada,biota,1.5360426557798315,1.8195978113136981
29,19160,19160,LIFE APEX,Real Sample,LIFE APEX 161 Striped dolphin liver pooled from Bay of Biscay,"Sun, 01/01/2017 - 22:00","Sun, 11/27/2016 - 22:00",LC-Bruker maXis QTOF: Submission #11,Bilbao,Spain,43.379766,-3.020877,1,Wet weight,Striped dolphin,,,,1.0,Marine environment,,,,Fish (22486),Liver,74.44633562,,Spain,biota,5.46962490111128,-1.6021302093739274
30,19935,19935,LIFE APEX,Real Sample,LIFE APEX 102 Buzzard liver from England (2008),"Tue, 01/01/2008 - 22:00","Tue, 11/27/2007 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.329021,0.379717,0,Wet weight,"Buzzard, Buteo buteo",,,UK,,Terrestrial environment,,,,Other (22510),Liver,70.31883539,,Canada,biota,1.561084058607983,2.12703084735003
31,21529,21529,LIFE APEX,Real Sample,LIFE APEX 32 Buzzard liver from Friesland,"Mon, 01/01/2018 - 22:00","Mon, 11/27/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Leeuwarden,Netherlands,53.006056,5.567012,1,Dry weight,Buzzard,,,Friesland (NL),,Marine environment,,Friesland (NL),,Other (22510),Liver,,,Netherlands,biota,1.5364031306380233,1.8240233573114777
32,56,56,LIFE APEX,Real Sample,LIFE APEX 20 Roach Muscle from River Welland (Stamford Meadows),"Sun, 01/01/2017 - 00:00","Wed, 01/01/2020 - 00:00",LC-Bruker maXis QTOF: Submission #10,Northampton,UK,52.65425,-0.461188,Yes,Wet weight,Rutilus rutilus,,,Welland River,,River,,Welland River Basin,,Fish (22486),Muscle,,,UK,biota,-8.806579127586671,-2.8903728698981075
33,19097,19097,LIFE APEX,Real Sample,LIFE APEX 154 Eurasian Otter liver pooled from Southern Moravia,"Fri, 01/01/2016 - 22:00","Fri, 11/27/2015 - 22:00",LC-Bruker maXis QTOF: Submission #10,Brno,Czech Republic,49.104827,16.631006,1,Wet weight,Eurasian Otter,,,,3.0,Terrestrial environment,,,,Other (22510),Liver,68.67873375,,Czech Republic,biota,1.5347651495553616,1.8039138809905746
