ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
18982,CONNECT I+II GC,Blank Sample,Procedural Blank CONNECT 38-46,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",65,Amsterdam,Netherlands,53.888617,8.705093,,(Whole) Fraction < 2mm,,,,,Spot sampling,,0.1,,sediment,,,,,,,,,,,,,
18983,CONNECT I+II GC,Blank Sample,Procedural Blank CONNECT 36-37,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",65,Cuxhaven,Germany,53.888617,8.705093,,(Whole) Fraction < 2mm,,,,,Spot sampling,,0.1,,sediment,,,,,,,,,,,,,
18996,CONNECT I+II GC,Real Sample,CONNECT 34 Sediment sandy silt from Cuxhaven,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",65,Cuxhaven,,54.833333,6.583333,North Sea,(Whole) Fraction < 2mm,,,North Sea,,Spot sampling,,1.0,,sediment,,,,,,,,,,,,,
18997,CONNECT I+II GC,Real Sample,CONNECT 33 Sediment silt from Cuxhaven,"Sat, 08/15/2020 - 22:00","Sat, 07/11/2020 - 22:00",65,Cuxhaven,,54.05,7.966667,North Sea,(Whole) Fraction < 2mm,,,North Sea,,Spot sampling,,1.0,,sediment,,,,,,,,,,,,,
23295,CONNECT I+II GC,Real Sample,CONnECTII 01 Sediment from Firth of Forth in Scotland,"Thu, 12/01/2022 - 12:00","Fri, 10/20/2023 - 12:00",65,Edinburgh,,56.0115,-3.504333,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23302,CONNECT I+II GC,Real Sample,CONnECTII 08 Sediment from W01 in Belgium,"Tue, 05/23/2023 - 12:00","Fri, 10/20/2023 - 12:00",65,Zeebrugge,,51.375,3.18917,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23304,CONNECT I+II GC,Real Sample,CONnECTII 11 Sediment from Kilkieran in Ireland,"Wed, 11/06/2019 - 12:00","Fri, 10/20/2023 - 12:00",65,Kilkieran,,53.325049,-9.733034,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23306,CONNECT I+II GC,Real Sample,CONnECTII 12 Sediment from Limerick Dock in Ireland,"Thu, 10/24/2019 - 12:00","Fri, 10/20/2023 - 12:00",65,Limerick,,52.660734,-8.640242,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23307,CONNECT I+II GC,Real Sample,CONnECTII 13 Sediment from Vigo Estuary in Spain,"Fri, 04/01/2022 - 12:00","Fri, 10/20/2023 - 12:00",65,Vigo,,42.25416667,-8.74388889,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
23308,CONNECT I+II GC,Real Sample,CONnECTII 14 Sediment from Gulf of Cadiz in Spain,"Tue, 10/01/2019 - 12:00","Fri, 10/20/2023 - 12:00",65,Huelva,,37.15,-6.854444,,(Whole) Fraction < 2mm,,Sediment-River water,,,Spot sampling,,,,sediment,,,,,,,,,,,,,
18984,CONNECT I+II GC,Real Sample,CONNECT 46 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,,52.431252,4.384624,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
18985,CONNECT I+II GC,Real Sample,CONNECT 45 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.558967,4.468311,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
18986,CONNECT I+II GC,Real Sample,CONNECT 44 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.418467,4.448686,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,91.0,,Netherlands
18987,CONNECT I+II GC,Real Sample,CONNECT 43 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.448188,4.532678,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
18988,CONNECT I+II GC,Real Sample,CONNECT 42 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.555727,4.561124,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
18989,CONNECT I+II GC,Real Sample,CONNECT 41 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.606892,4.56725,,,,,North Sea,,,,,,biota,1,Wet weight,Ostrea edulis,,North Sea,,Coastal region,,Molluscs (22488),Muscle,90.0,,Netherlands
18990,CONNECT I+II GC,Real Sample,CONNECT 40 Platichthys flesus from the Netherlands,"Tue, 08/25/2020 - 22:00","Tue, 07/21/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.666887,4.56763,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,79.0,,Netherlands
18991,CONNECT I+II GC,Real Sample,CONNECT 39 Platichthys flesus from the Netherlands,"Mon, 08/10/2020 - 22:00","Mon, 07/06/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.735691,4.570985,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Netherlands
18992,CONNECT I+II GC,Real Sample,CONNECT 38 Platichthys flesus from the Netherlands,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",Instrument setup: Submission #16,Amsterdam,Netherlands,52.799948,4.573844,,,,,North Sea,,,,,,biota,1,Wet weight,Platichthys flesus,,North Sea,,Coastal region,,Molluscs (22488),Muscle,78.0,,Netherlands
18993,CONNECT I+II GC,Real Sample,CONNECT 37 Mytilus Galloprovincialis from Carteau,"Mon, 03/01/2021 - 22:00","Mon, 01/25/2021 - 22:00",Instrument setup: Submission #16,Carteau,Netherlands,43.324639,4.81175101,,,,,Mediterranean sea,,,,,,biota,1,Wet weight,Mytilus Galloprovincialis,,Mediterranean sea,,Coastal region,,Molluscs (22488),Muscle,84.2,,France
18994,CONNECT I+II GC,Real Sample,CONNECT 36 Mytilus edulis from Chausey,"Sun, 02/28/2021 - 22:00","Sun, 01/24/2021 - 22:00",Instrument setup: Submission #16,Chausey,France,48.890261,-1.843798,,,,,English Channel,,,,,,biota,1,Wet weight,Mytilus edulis,,English Channel,,Coastal region,,Molluscs (22488),Muscle,82.3,,France
18995,CONNECT I+II GC,Real Sample,CONNECT 35 Mytilus edulis from Villerville,"Sat, 04/03/2021 - 22:00","Sat, 02/27/2021 - 22:00",Instrument setup: Submission #16,Villerville,France,49.416802,0.103191,,,,,English Channel,,,,,,biota,1,Wet weight,Mytilus edulis,,English Channel,,Coastal region,,Molluscs (22488),Muscle,78.6,,France
23294,CONNECT I+II GC,Real Sample,Blank biota for CONNECTII,"Sun, 02/26/2023 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,De Haan,France,51.3,3.0,,,,,,,,,,,biota,,Dry weight,,,,,Coastal region,,,Muscle,,,Belgium
23296,CONNECT I+II GC,Real Sample,CONnECTII 02 whole soft body  Mytilus edulis from Clyde Estuary Outer in Scotland,"Tue, 01/17/2023 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,Glasgow,Belgium,55.932,-4.677,,,,,River Clyde,,,,,,biota,Yes,Dry weight,Mytilus edulis,,River Clyde,,Coastal region,,Molluscs (22488),Muscle,85.14,,UK
23297,CONNECT I+II GC,Real Sample,CONnECTII 03 liver Pleuronectes platessa from Outer Moray Firth in Scotland,"Mon, 02/21/2022 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,Elgin,UK,58.072,-2.951833,,,,,North Sea,,,,,,biota,,Dry weight,Pleuronectes platessa,,North Sea,,Coastal region,,Fish (22486),Liver,80.11,,USA
23298,CONNECT I+II GC,Real Sample,CONnECTII 04 Fillet Rutilus rutilus from Randmeren Oost in the Netherlands,"Mon, 10/03/2022 - 00:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,Harderwijk,USA,52.382959,5.659556,,,,,Veluwemeer,,,,,,biota,Yes,Dry weight,Rutilus rutilus,,Veluwemeer,,Coastal region,,Fish (22486),Muscle,73.31288344,,Netherlands
23299,CONNECT I+II GC,Real Sample,CONnECTII 05 Fillet Rutilus rutilus from Hollands Diep in the Netherlands,"Mon, 09/12/2022 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,Dordrecht,Netherlands,51.697392,4.540111,,,,,Hollands Diep,,,,,,biota,Yes,Dry weight,Rutilus rutilus,,Hollands Diep,,Coastal region,,Fish (22486),Muscle,74.28571429,,Netherlands
23300,CONNECT I+II GC,Real Sample,CONnECTII 06 Filet limanda limanda from FT140tris in Belgium,"Sun, 02/26/2023 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,De Haan,Netherlands,51.33206,2.999895,,,,,North Sea,,,,,,biota,Yes,Dry weight,limanda limanda,,North Sea,,Coastal region,,Fish (22486),Muscle,75.0,,Belgium
23301,CONNECT I+II GC,Real Sample,CONnECTII 07 Liver limanda limanda from FT140tris in Belgium,"Sun, 02/26/2023 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,De Haan,Belgium,51.33206,2.999895,,,,,North Sea,,,,,,biota,Yes,Dry weight,limanda limanda,,North Sea,,Coastal region,,Fish (22486),Liver,80.0,,Belgium
23303,CONNECT I+II GC,Real Sample,CONnECTII 09 Harbour Porpoise liver (female) from Ireland,"Wed, 01/23/2019 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,Dublin,Belgium,53.33317,-6.150153,,,,,Dublin Bay,,,,,,biota,,Dry weight,Harbour Porpoise,,Dublin Bay,,Coastal region,,Fish (22486),Liver,71.0,,Ireland
23305,CONNECT I+II GC,Real Sample,CONnECTII 10 Harbour Porpoise liver (male) from Ireland,"Mon, 09/02/2019 - 12:00","Fri, 10/20/2023 - 12:00",Instrument setup: Submission #16,Dublin,Ireland,53.313359,-6.08742,,,,,Dublin Bay,,,,,,biota,,Dry weight,Harbour Porpoise,,Dublin Bay,1.0,Coastal region,,Fish (22486),Liver,81.0,,Ireland
