ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Capacity population equivalent,Daily flow m^3/day,Dissolved organic carbon (mg/L),MES Dry matter content (mg/L),pH,Proxy pressures,River basin,Sludge retention time (days),Temperature (°C),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Type of sampling depth
19042,IP_scoring,Real Sample,Mix of pesticides at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",118,Barcelona,Spain,41.4,2.17,0.0,0.0,,,,,,,,,Other,,Other,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4,wastewater,,,,,,,,,
19043,IP_scoring,Real Sample,Mix of pesticides at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",117,Barcelona,Spain,41.4,2.17,0.0,0.0,,,,,,,,,Other,,Other,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4,wastewater,,,,,,,,,
19044,IP_scoring,Real Sample,Mix of compounds 2 at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",118,Barcelona,Spain,41.4,2.17,0.0,0.0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4,wastewater,,,,,,,,,
19045,IP_scoring,Real Sample,Mix of compounds 2 at 50 ppb,"Sun, 09/15/2019 - 22:00","Sun, 08/11/2019 - 22:00",117,Barcelona,Spain,41.4,2.17,0.0,0.0,,,,,,,,,Other,,Waste water - Municipal,Effluent wastewater,,Whole water with determination on each separate phase (sum of all phases),41.4,wastewater,,,,,,,,,
19272,IP_scoring,Real Sample,Mix of compounds at 50 ppb,"Tue, 09/15/2020 - 22:00","Tue, 08/11/2020 - 22:00",119,Barcelona,Spain,41.4,2.17,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,41.4,wastewater,,,,,,,,,
19273,IP_scoring,Real Sample,Mix of compounds at 1 ppb,"Tue, 09/15/2020 - 22:00","Tue, 08/11/2020 - 22:00",119,Barcelona,Spain,41.4,2.17,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,41.4,wastewater,,,,,,,,,
19737,IP_scoring,Real Sample,Standard with urban contaminants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19738,IP_scoring,Real Sample,Standard with surfactants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19739,IP_scoring,Real Sample,Standard with steroids 02,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19740,IP_scoring,Real Sample,Standard with steroids 01,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19741,IP_scoring,Real Sample,Standard with polar substances 02,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19742,IP_scoring,Real Sample,Standard with polar substances 01,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19743,IP_scoring,Real Sample,Standard with phenols,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19744,IP_scoring,Real Sample,Standard with pharmaceuticals 03,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19745,IP_scoring,Real Sample,Standard with pharmaceuticals 02,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19746,IP_scoring,Real Sample,Standard with pharmaceuticals 01,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19747,IP_scoring,Real Sample,Standard with pesticides 04,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19748,IP_scoring,Real Sample,Standard with pesticides 03,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19749,IP_scoring,Real Sample,Standard with pesticides 02,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19750,IP_scoring,Real Sample,Standard with pesticides 01,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19751,IP_scoring,Real Sample,Standard with miscellaneous contaminants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19752,IP_scoring,Real Sample,Standard with industrial contaminants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19753,IP_scoring,Real Sample,Standard with GC contaminants,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal and Industrial,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19754,IP_scoring,Real Sample,Standard with amines,"Wed, 05/01/2019 - 22:00","Wed, 03/27/2019 - 22:00",10,Athens,Greece,37.98,23.73,1.0,1.0,,,,,,,,,,None (raw wastewater),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.98,wastewater,,,,,,,,,
19274,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19275,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19276,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19277,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19278,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19279,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19280,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19281,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19282,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19283,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19284,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
19285,IP_scoring,Real Sample,Pesticides,"Wed, 08/18/2021 - 22:00","Wed, 07/14/2021 - 22:00",76,,France,0.1,0.1,,,,,,,,,,,,,,,,,,surface-water,,Dissolved fraction,,,0.0,Standard,,,
