ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
19178,AQUAlity,Real Sample,Lake Pamvotis,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",73,Ioannina,Greece,39.655451,20.865918,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Lake Pamvotis,Lake Pamvotis,,,,surface-water,,,,,,,,,,,,,
19179,AQUAlity,Real Sample,Lake Pamvotis,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",72,Ioannina,Greece,39.655451,20.865918,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Lake Pamvotis,Lake Pamvotis,,,,surface-water,,,,,,,,,,,,,
19184,AQUAlity,Real Sample,River Lanzo Arrivore,"Fri, 06/21/2019 - 22:00","Fri, 05/17/2019 - 22:00",73,Turin,Italy,45.099972,7.718611,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19185,AQUAlity,Real Sample,River Lanzo Arrivore,"Fri, 06/21/2019 - 22:00","Fri, 05/17/2019 - 22:00",72,Turin,Italy,45.099972,7.718611,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19186,AQUAlity,Real Sample,River Lanzo Caselle Orti,"Sat, 06/22/2019 - 22:00","Sat, 05/18/2019 - 22:00",73,Turin,Italy,45.171833,7.624694,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19187,AQUAlity,Real Sample,River Lanzo Caselle Orti,"Sat, 06/22/2019 - 22:00","Sat, 05/18/2019 - 22:00",72,Turin,Italy,45.171833,7.624694,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19188,AQUAlity,Real Sample,Lake with fishing activities in Turin,"Sat, 06/22/2019 - 22:00","Sat, 05/18/2019 - 22:00",73,Turin,Italy,45.137306,7.68025,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19189,AQUAlity,Real Sample,Lake with fishing activities in Turin,"Sat, 06/22/2019 - 22:00","Sat, 05/18/2019 - 22:00",72,Turin,Italy,45.137306,7.68025,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19190,AQUAlity,Real Sample,River Po close to hospital,"Mon, 06/24/2019 - 22:00","Mon, 05/20/2019 - 22:00",73,Turin,Italy,45.044222,7.683028,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19191,AQUAlity,Real Sample,River Po close to hospital,"Mon, 06/24/2019 - 22:00","Mon, 05/20/2019 - 22:00",72,Turin,Italy,45.044222,7.683028,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19194,AQUAlity,Real Sample,River Po Torino inlet,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",73,Turin,Italy,45.01596,7.677505,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19195,AQUAlity,Real Sample,River Po Torino inlet,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",72,Turin,Italy,45.01596,7.677505,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19196,AQUAlity,Real Sample,River Po lagoon exit,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",73,Turin,Italy,44.96643,7.692994,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19197,AQUAlity,Real Sample,River Po lagoon exit,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",72,Turin,Italy,44.96643,7.692994,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19198,AQUAlity,Real Sample,River Banna stream,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",73,Turin,Italy,44.953333,7.705278,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19199,AQUAlity,Real Sample,River Banna stream,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",72,Turin,Italy,44.953333,7.705278,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19200,AQUAlity,Real Sample,River Po Murazzi,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",73,Turin,Italy,45.044222,7.683028,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19201,AQUAlity,Real Sample,River Po Murazzi,"Wed, 06/19/2019 - 22:00","Wed, 05/15/2019 - 22:00",72,Turin,Italy,45.044222,7.683028,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Po Basin,River Po Basin,,,,surface-water,,,,,,,,,,,,,
19202,AQUAlity,Real Sample,River Nonette,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",73,Oise,France,49.197,2.418083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Nonette,River Nonette,,,,surface-water,,,,,,,,,,,,,
19203,AQUAlity,Real Sample,River Nonette,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",72,Oise,France,49.197,2.418083,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Nonette,River Nonette,,,,surface-water,,,,,,,,,,,,,
19204,AQUAlity,Real Sample,River Breche,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",73,Oise,France,49.2965,2.451167,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Brèche,River Brèche,,,,surface-water,,,,,,,,,,,,,
19205,AQUAlity,Real Sample,River Breche,"Thu, 04/25/2019 - 22:00","Thu, 03/21/2019 - 22:00",72,Oise,France,49.2965,2.451167,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,River Brèche,River Brèche,,,,surface-water,,,,,,,,,,,,,
