ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight)
20079,EMBLAS-Plus,Blank Sample,Blank EMBLAS-Plus for marine sediment,"Sun, 07/28/2019 - 22:00","Sun, 06/23/2019 - 22:00",11,Odesa,Ukraine,46.41576,30.854982,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20080,EMBLAS-Plus,Blank Sample,Blank EMBLAS-Plus for marine sediment,"Sun, 07/28/2019 - 22:00","Sun, 06/23/2019 - 22:00",10,Odesa,Ukraine,46.41576,30.854982,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20081,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA-3A.M,"Sun, 07/28/2019 - 22:00","Sun, 06/23/2019 - 22:00",11,Odesa,Ukraine,46.4833333,30.8166667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20082,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA-3A.M,"Sun, 07/28/2019 - 22:00","Sun, 06/23/2019 - 22:00",10,Odesa,Ukraine,46.4833333,30.8166667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20083,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA-12,"Sat, 08/03/2019 - 22:00","Sat, 06/29/2019 - 22:00",11,Batumi,Georgia,41.7833333,41.2166667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20084,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA-12,"Sat, 08/03/2019 - 22:00","Sat, 06/29/2019 - 22:00",10,Batumi,Georgia,41.7833333,41.2166667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20085,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA-2A,"Sun, 07/28/2019 - 22:00","Sun, 06/23/2019 - 22:00",11,Odesa,Ukraine,46.3333333,31.0,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20086,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA-2A,"Sun, 07/28/2019 - 22:00","Sun, 06/23/2019 - 22:00",10,Odesa,Ukraine,46.3333333,31.0,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500,
20087,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA8,"Thu, 08/01/2019 - 22:00","Thu, 06/27/2019 - 22:00",11,Odesa,Ukraine,43.5333333,36.0666667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1000,
20088,EMBLAS-Plus,Real Sample,Sediment JBSS-GE-UA8,"Thu, 08/01/2019 - 22:00","Thu, 06/27/2019 - 22:00",10,Odesa,Ukraine,43.5333333,36.0666667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1000,
