ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
21071,IZW Raptor monitoring,Blank Sample,Procedural Blank IZW,"Wed, 03/28/2018 - 22:00","Wed, 02/21/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Emden,Germany,53.40750472,7.085319972,0,Wet weight,Haliaeetus albicilla,,,North sea,,Coastal region,,,,Other (22510),Liver,,,Germany
21072,IZW Raptor monitoring,Blank Sample,Procedural Blank IZW,"Wed, 03/28/2018 - 22:00","Wed, 02/21/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Emden,Germany,53.40750472,7.085319972,0,Wet weight,Haliaeetus albicilla,,,North sea,,Coastal region,,,,Other (22510),Liver,,,Germany
21073,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Mar 2017, MV","Sun, 03/19/2017 - 22:00","Sun, 02/12/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,,Germany,53.52136888,13.77556788,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21074,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Mar 2017, MV","Sun, 03/19/2017 - 22:00","Sun, 02/12/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,,Germany,53.52136888,13.77556788,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21075,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Mar 2017, MV","Thu, 03/30/2017 - 22:00","Thu, 02/23/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,,Germany,53.52136888,13.77556788,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21076,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Mar 2017, MV","Thu, 03/30/2017 - 22:00","Thu, 02/23/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,,Germany,53.52136888,13.77556788,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21077,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Feb 2016, MV","Thu, 02/18/2016 - 22:00","Thu, 01/14/2016 - 22:00",LC-Bruker maXis QTOF: Submission #11,,Germany,53.79152617,13.84053797,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21078,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Feb 2016, MV","Thu, 02/18/2016 - 22:00","Thu, 01/14/2016 - 22:00",LC-Bruker maXis QTOF: Submission #10,,Germany,53.79152617,13.84053797,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21079,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Mar 2015, MV","Sat, 03/14/2015 - 22:00","Sat, 02/07/2015 - 22:00",LC-Bruker maXis QTOF: Submission #11,,Germany,53.883692,13.794789,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
21080,IZW Raptor monitoring,Real Sample,"Liver white-tailed sea eagle Vorpommern Greifswald (Mar 2015, MV","Sat, 03/14/2015 - 22:00","Sat, 02/07/2015 - 22:00",LC-Bruker maXis QTOF: Submission #10,,Germany,53.883692,13.794789,0,Wet weight,Haliaeetus albicilla,,,Baltic sea,,Coastal region,,,,Other (22510),Liver,,,
