ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",Origin of SPM,SPM Concentration (mg/L),"Name of river, estuary, lake, reservoir, sea",Distance from the river source,Origin of SPM.1,Collection distance (km),Total organic carbon (% of total dry weight)
21669,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1B,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,,sediment,,,,,,,,,,,,,,,
21670,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1B,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,,sediment,,,,,,,,,,,,,,,
21671,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1A,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,,sediment,,,,,,,,,,,,,,,
21672,EMBLAS-II (Survey 2017) GC,Real Sample,Sediment 1A,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,0.1,,sediment,,,,,,,,,,,,,,,
21673,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater 1C  Mariani-Box,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,,,,,,,,,0.1,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21674,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater 1C  Mariani-Box,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,,,,,,,,,0.1,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21675,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater 1A  Mariani-Box,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,,,,,,,,,0.1,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21676,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater 1A  Mariani-Box,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Tulcea,Romania,43.02258333,37.56416667,,,,,,,,,0.1,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21761,EMBLAS-II (Survey 2017) GC,Blank Sample,Seawater Field Blank XL-SPE,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21762,EMBLAS-II (Survey 2017) GC,Blank Sample,Seawater Field Blank XL-SPE,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21763,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater XL-SPE (295 L) Stretch 5,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21764,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater XL-SPE (295 L) Stretch 5,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21765,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater XL-SPE (300 L) Stretch 4,"Tue, 09/05/2017 - 22:00","Tue, 08/01/2017 - 22:00",65,Odesa,Ukraine,43.41475,32.86666667,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21766,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater XL-SPE (300 L) Stretch 4,"Tue, 09/05/2017 - 22:00","Tue, 08/01/2017 - 22:00",65,Odesa,Ukraine,43.41475,32.86666667,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21767,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater XL-SPE (293 L) Stretch 3,"Mon, 09/04/2017 - 22:00","Mon, 07/31/2017 - 22:00",65,Batumi,Georgia,43.41475,32.86666667,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
21768,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater XL-SPE (293 L) Stretch 3,"Mon, 09/04/2017 - 22:00","Mon, 07/31/2017 - 22:00",65,Batumi,Georgia,43.41475,32.86666667,,,,,Black Sea,,,,1.0,,surface-water,,Dissolved fraction,,,,,,Black Sea,,,,,,,
