ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Origin of SPM,SPM Concentration (mg/L),"Name of river, estuary, lake, reservoir, sea",River basin name,Distance from the river source,Proxy pressures,Origin of SPM.1,Depth (m),Collection distance (km),Total organic carbon (% of total dry weight)
21717,EMBLAS-II (Survey 2017) GC,Blank Sample,Seawater particulate matter Field blank XL-SPE,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21718,EMBLAS-II (Survey 2017) GC,Blank Sample,Seawater particulate matter Field blank XL-SPE,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21719,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (295 L) Stretch 5,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21720,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (295 L) Stretch 5,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21721,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (295 L) Stretch 5,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21722,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (295 L) Stretch 5,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",65,Constanta,Romania,44.697589,29.913385,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21723,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (300 L) Stretch 4,"Tue, 09/05/2017 - 22:00","Tue, 08/01/2017 - 22:00",65,Odesa,Ukraine,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21724,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (300 L) Stretch 4,"Tue, 09/05/2017 - 22:00","Tue, 08/01/2017 - 22:00",65,Odesa,Ukraine,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21725,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (300 L) Stretch 4,"Tue, 09/05/2017 - 22:00","Tue, 08/01/2017 - 22:00",65,Odesa,Ukraine,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21726,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (300 L) Stretch 4,"Tue, 09/05/2017 - 22:00","Tue, 08/01/2017 - 22:00",65,Odesa,Ukraine,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21727,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (293 L) Stretch 3,"Mon, 09/04/2017 - 22:00","Mon, 07/31/2017 - 22:00",65,Batumi,Georgia,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21728,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (293 L) Stretch 3,"Mon, 09/04/2017 - 22:00","Mon, 07/31/2017 - 22:00",65,Batumi,Georgia,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21729,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (293 L) Stretch 3,"Mon, 09/04/2017 - 22:00","Mon, 07/31/2017 - 22:00",65,Batumi,Georgia,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21730,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (293 L) Stretch 3,"Mon, 09/04/2017 - 22:00","Mon, 07/31/2017 - 22:00",65,Batumi,Georgia,43.41475,32.86666667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21731,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (303 L) Stretch 2,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",65,Batumi,Georgia,42.93033333,37.02944444,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21732,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (303 L) Stretch 2,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",65,Batumi,Georgia,42.93033333,37.02944444,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21733,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (303 L) Stretch 2,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",65,Batumi,Georgia,42.93033333,37.02944444,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21734,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (303 L) Stretch 2,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",65,Batumi,Georgia,42.93033333,37.02944444,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21735,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (600 L) Stretch 1,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Odesa,Ukraine,43.02258333,37.56416667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21736,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 2 from XL-SPE (600 L) Stretch 1,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Odesa,Ukraine,43.02258333,37.56416667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21737,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (600 L) Stretch 1,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Odesa,Ukraine,43.02258333,37.56416667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
21738,EMBLAS-II (Survey 2017) GC,Real Sample,Seawater particulate matter cell 1 from XL-SPE (600 L) Stretch 1,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",65,Odesa,Ukraine,43.02258333,37.56416667,Marine water,1,Black Sea,Black Sea,,,Spot sampling,,,
