ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
21847,EMBLAS-II (Survey 2016),Real Sample,Sediment UA15,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",11,Odesa,Ukraine,46.52667,31.79167,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21848,EMBLAS-II (Survey 2016),Real Sample,Sediment UA15,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",10,Odesa,Ukraine,46.52667,31.79167,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21849,EMBLAS-II (Survey 2016),Real Sample,Sediment UA15 old,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",11,Odesa,Ukraine,46.52667,31.79167,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21850,EMBLAS-II (Survey 2016),Real Sample,Sediment UA15 old,"Sat, 05/21/2016 - 22:00","Sat, 04/16/2016 - 22:00",10,Odesa,Ukraine,46.52667,31.79167,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21851,EMBLAS-II (Survey 2016),Real Sample,Sediment UA12,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",11,Odesa,Ukraine,46.33333,31.48333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21852,EMBLAS-II (Survey 2016),Real Sample,Sediment UA12,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",10,Odesa,Ukraine,46.33333,31.48333,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21853,EMBLAS-II (Survey 2016),Real Sample,Sediment UA11,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",11,Odesa,Ukraine,46.0,31.25,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21854,EMBLAS-II (Survey 2016),Real Sample,Sediment UA11,"Fri, 05/20/2016 - 22:00","Fri, 04/15/2016 - 22:00",10,Odesa,Ukraine,46.0,31.25,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21855,EMBLAS-II (Survey 2016),Real Sample,Sediment UA07,"Thu, 05/19/2016 - 22:00","Thu, 04/14/2016 - 22:00",11,Odesa,Ukraine,45.2,29.81,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
21856,EMBLAS-II (Survey 2016),Real Sample,Sediment UA07,"Thu, 05/19/2016 - 22:00","Thu, 04/14/2016 - 22:00",10,Odesa,Ukraine,45.2,29.81,Black Sea,(Whole) Fraction < 2mm,,,Black Sea,,Spot sampling,,1500.0,,sediment,,,,,,,,,,,,,,,,,,,,,
