ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea"
22017,Implementation of WFD Montenegro,Blank Sample,Procedural Blank Sediment,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",11,Podgorica,Montenegro,42.47,19.28,Kotor Bay-IBM,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22018,Implementation of WFD Montenegro,Blank Sample,Procedural Blank Sediment,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",10,Podgorica,Montenegro,42.47,19.28,Kotor Bay-IBM,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22019,Implementation of WFD Montenegro,Real Sample,Sediment Kotor Bay-IBM,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",11,Dobrota,Montenegro,42.436361,18.763972,Kotor Bay-IBM,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22020,Implementation of WFD Montenegro,Real Sample,Sediment Kotor Bay-IBM,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",10,Dobrota,Montenegro,42.436361,18.763972,Kotor Bay-IBM,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22021,Implementation of WFD Montenegro,Real Sample,Sediment Vranjina in Moraca River,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",11,Pljevlja,Montenegro,42.269833,19.115011,Moraca River,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22022,Implementation of WFD Montenegro,Real Sample,Sediment Vranjina in Moraca River,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",10,Pljevlja,Montenegro,42.269833,19.115011,Moraca River,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22023,Implementation of WFD Montenegro,Real Sample,Sediment Nizvodno od Pljevalja in Breznica River,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",11,Pljevlja,Montenegro,43.363442,19.298902,Breznica River,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22024,Implementation of WFD Montenegro,Real Sample,Sediment Nizvodno od Pljevalja in Breznica River,"Sat, 07/07/2018 - 22:00","Sat, 06/02/2018 - 22:00",10,Pljevlja,Montenegro,43.363442,19.298902,Breznica River,(Whole) Fraction < 2mm,,,Danube River Basin,,Spot sampling,,5.0,,sediment,,,,,,,,,,,,,,,,,,,,,
22025,Implementation of WFD Montenegro,Blank Sample,Procedural Blank Biota,"Thu, 07/05/2018 - 22:00","Thu, 05/31/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Podgorica,Montenegro,42.47,19.28,,,,,,,,,,,biota,1.0,Wet weight,,,Skadar Lake,,Lake,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22026,Implementation of WFD Montenegro,Blank Sample,Procedural Blank Biota,"Thu, 07/05/2018 - 22:00","Thu, 05/31/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Podgorica,Montenegro,42.47,19.28,,,,,,,,,,,biota,1.0,Wet weight,,,Skadar Lake,,Lake,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22027,Implementation of WFD Montenegro,Real Sample,Muscle from Brcak (omnivor) in Skadar Lake,"Thu, 07/05/2018 - 22:00","Thu, 05/31/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vranjina,Montenegro,42.252775,19.12574444,,,,,,,,,,,biota,1.0,Wet weight,,,Skadar Lake,,Lake,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22028,Implementation of WFD Montenegro,Real Sample,Muscle from Brcak (omnivor) in Skadar Lake,"Thu, 07/05/2018 - 22:00","Thu, 05/31/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vranjina,Montenegro,42.252775,19.12574444,,,,,,,,,,,biota,1.0,Wet weight,,,Skadar Lake,,Lake,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22029,Implementation of WFD Montenegro,Real Sample,Muscle from Perch in Skadar Lake,"Thu, 07/05/2018 - 22:00","Thu, 05/31/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vranjina,Montenegro,42.252775,19.12574444,,,,,,,,,,,biota,1.0,Wet weight,,,Skadar Lake,,Lake,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22030,Implementation of WFD Montenegro,Real Sample,Muscle from Perch in Skadar Lake,"Thu, 07/05/2018 - 22:00","Thu, 05/31/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vranjina,Montenegro,42.252775,19.12574444,,,,,,,,,,,biota,1.0,Wet weight,,,Skadar Lake,,Lake,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22031,Implementation of WFD Montenegro,Real Sample,Muscle from Mullus barbatus in Boka Bay,"Wed, 07/04/2018 - 22:00","Wed, 05/30/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Drazin Vrt,Montenegro,42.48222222,18.74194444,,,,,Adriatic Sea,,,,,,biota,1.0,Wet weight,,,Adriatic Sea,,Marine environment,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22032,Implementation of WFD Montenegro,Real Sample,Muscle from Mullus barbatus in Boka Bay,"Wed, 07/04/2018 - 22:00","Wed, 05/30/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Drazin Vrt,Montenegro,42.48222222,18.74194444,,,,,Adriatic Sea,,,,,,biota,1.0,Wet weight,,,Adriatic Sea,,Marine environment,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22033,Implementation of WFD Montenegro,Real Sample,Muscle from Mullus barbatus in Coast Budva,"Thu, 07/12/2018 - 22:00","Thu, 06/07/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Zagora,Montenegro,42.27177778,18.68,,,,,Adriatic Sea,,,,,,biota,1.0,Wet weight,,,Adriatic Sea,,Marine environment,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22034,Implementation of WFD Montenegro,Real Sample,Muscle from Mullus barbatus in Coast Budva,"Thu, 07/12/2018 - 22:00","Thu, 06/07/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Zagora,Montenegro,42.27177778,18.68,,,,,Adriatic Sea,,,,,,biota,1.0,Wet weight,,,Adriatic Sea,,Marine environment,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
22035,Implementation of WFD Montenegro,Real Sample,Muscle from Mullus barbatus in Coast Bar,"Thu, 07/12/2018 - 22:00","Thu, 06/07/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Utjeha-Busat,Montenegro,41.95566667,19.10472222,,,,,Adriatic Sea,,,,,,biota,1.0,Wet weight,,,Adriatic Sea,,Marine environment,,Fish (22486),Muscel,,,Montenegro,,,,,,,,
