ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth
22037,Implementation of WFD Montenegro,Blank Sample,Procedural Blank Campaign Montenegro,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Podgorica,Montenegro,42.47,19.28,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Montenegro,,,,
22038,Implementation of WFD Montenegro,Blank Sample,Procedural Blank Campaign Montenegro,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Podgorica,Montenegro,42.47,19.28,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Montenegro,,,,
22039,Implementation of WFD Montenegro,Real Sample,MNE,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,CW 4-Drobni pijesak,Montenegro,42.23438889,18.90233278,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Adriatic Sea,Adriatic Sea,,,
22040,Implementation of WFD Montenegro,Real Sample,MNE,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,CW 4-Drobni pijesak,Montenegro,42.23438889,18.90233278,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Adriatic Sea,Adriatic Sea,,,
22041,Implementation of WFD Montenegro,Real Sample,Budva Bay-Slovenska plaza,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Budva,Montenegro,42.28494389,18.85147194,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Adriatic sea,Adriatic sea,,,
22042,Implementation of WFD Montenegro,Real Sample,Budva Bay-Slovenska plaza,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Budva,Montenegro,42.28494389,18.85147194,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Adriatic sea,Adriatic sea,,,
22043,Implementation of WFD Montenegro,Real Sample,Kotor Bay-IBM,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Kotor,Montenegro,42.43636111,18.76397194,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Bay of Kotor,Adriatic Sea,,,
22044,Implementation of WFD Montenegro,Real Sample,Kotor Bay-IBM,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Kotor,Montenegro,42.43636111,18.76397194,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Bay of Kotor,Adriatic Sea,,,
22045,Implementation of WFD Montenegro,Real Sample,Shen Gjergjit,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",11,Fraskanjel,Montenegro,41.96885694,19.38446389,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Bojana,Adriatic Sea,,,
22046,Implementation of WFD Montenegro,Real Sample,Shen Gjergjit,"Mon, 07/02/2018 - 22:00","Mon, 05/28/2018 - 22:00",10,Fraskanjel,Montenegro,41.96885694,19.38446389,,Whole water with determination on each separate phase (sum of all phases),,,0.2,,,,Bojana,Adriatic Sea,,,
