ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",Type of sampling depth,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Sludge total organic carbon (% of total dry weight)
21677,EMBLAS-II (Survey 2017),Blank Sample,Procedural Blank for Biota EMBLAS-II Survey 2017,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,N. Melanostomus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21678,EMBLAS-II (Survey 2017),Blank Sample,Procedural Blank for Biota EMBLAS-II Survey 2017,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,N. Melanostomus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21679,EMBLAS-II (Survey 2017),Real Sample,"Whole Fish, N. Melanostomus from Ukraine (Sample 16B)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,N. Melanostomus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21680,EMBLAS-II (Survey 2017),Real Sample,"Whole Fish, N. Melanostomus from Ukraine (Sample 16B)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,N. Melanostomus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21681,EMBLAS-II (Survey 2017),Real Sample,"Fish, N. Melanostomus from Ukraine (Sample 16)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,N. Melanostomus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21682,EMBLAS-II (Survey 2017),Real Sample,"Fish, N. Melanostomus from Ukraine (Sample 16)","Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,N. Melanostomus,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21683,EMBLAS-II (Survey 2017),Real Sample,Whole Fish from Zmiinyi island in Ukraine (Sample 15B),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Not known,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21684,EMBLAS-II (Survey 2017),Real Sample,Whole Fish from Zmiinyi island in Ukraine (Sample 15B),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Not known,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21685,EMBLAS-II (Survey 2017),Real Sample,Fish from Zmiinyi island In Ukraine (Sample 15),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Not known,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
21686,EMBLAS-II (Survey 2017),Real Sample,Fish from Zmiinyi island In Ukraine (Sample 15),"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,45.38319,31.29838,1.0,Wet weight,Not known,,,Black Sea,,Marine environment,,Black Sea,,Fish (22486),Soft body,,,Ukraine,biota,,,,,,,,,,,,,,,
