ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Capacity population equivalent,Daily flow m^3/day,Dissolved organic carbon (mg/L),MES Dry matter content (mg/L),pH,Proxy pressures,River basin,Sludge retention time (days),Temperature (°C),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,matrix
22104,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Weeks 22 Nov-4 Dec 2017),"Wed, 11/22/2017 - 22:00","Wed, 10/18/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22105,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Weeks 22 Nov-4 Dec 2017),"Wed, 11/22/2017 - 22:00","Wed, 10/18/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22106,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Weeks 9-21 Nov 2017),"Thu, 11/09/2017 - 22:00","Thu, 10/05/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22107,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Weeks 9-21 Nov 2017),"Thu, 11/09/2017 - 22:00","Thu, 10/05/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22108,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 28 Nov-04 Dec 2017),"Mon, 12/04/2017 - 22:00","Mon, 10/30/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22109,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 28 Nov-04 Dec 2017),"Mon, 12/04/2017 - 22:00","Mon, 10/30/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22110,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 22-27 Nov 2017),"Mon, 11/27/2017 - 22:00","Mon, 10/23/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22111,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 22-27 Nov 2017),"Mon, 11/27/2017 - 22:00","Mon, 10/23/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22112,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 16-21 Nov 2017),"Tue, 11/21/2017 - 22:00","Tue, 10/17/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22113,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 16-21 Nov 2017),"Tue, 11/21/2017 - 22:00","Tue, 10/17/2017 - 22:00",10,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
22114,ITN ANSWER,Real Sample,Effluent wastewater from Nicosia (Week 9-15 Nov 2017),"Wed, 11/15/2017 - 22:00","Wed, 10/11/2017 - 22:00",11,Nicosia,Cyprus,35.076539,33.448398,55000,2200,,,,,Cyprus,,,,Other,Primary sedimentation + activated sludge (including SBR) - C+N+P (P-removal),Waste water - Municipal,Effluent wastewater,,Dissolved fraction,35.076539,wastewater
