ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Type of sampling depth,Depth (m),Sludge total organic carbon (% of total dry weight)
22313,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 01,"Fri, 08/20/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Helsinki,,60.174857,25.003935,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.8,,Finland,biota,,,,,,,
22314,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 01,"Fri, 08/20/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Helsinki,Finland,60.174857,25.003935,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.8,,Finland,biota,,,,,,,
22315,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 02,"Thu, 08/18/2022 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Kotka,Finland,60.433895,26.865812,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.3,,Finland,biota,,,,,,,
22316,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 02,"Wed, 08/18/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Kotka,Finland,60.433895,26.865812,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.3,,Finland,biota,,,,,,,
22317,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 03,"Wed, 09/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Parainen,Finland,60.322733,22.351017,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,73.6,,Finland,biota,,,,,,,
22318,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 03,"Wed, 09/08/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Parainen,Finland,60.322733,22.351017,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,73.6,,Finland,biota,,,,,,,
22319,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 04,"Tue, 08/31/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Vaasa,Finland,63.075293,21.569427,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,73.6,,Finland,biota,,,,,,,
22320,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 04,"Tue, 08/31/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Vaasa,Finland,63.075293,21.569427,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Perca fluviatilis,,Fish (22486),Muscle,73.6,,Finland,biota,,,,,,,
22321,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 05,"Wed, 09/29/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Hailuoto,Finland,65.05,25.23333,Yes,Wet weight,Perca fluviatilis,,79.2,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,,,Finland,biota,,,,,,,
22322,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 05,"Wed, 09/29/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Hailuoto,Finland,65.05,25.23333,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,79.2,,Finland,biota,,,,,,,
22323,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 06,"Thu, 09/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Pori,Finland,61.6985,21.496296,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.0,,Finland,biota,,,,,,,
22324,HELCOM pre-EMPT,Real Sample,Muscle from European perch in Finland HELCOM pre-EMPT 06,"Thu, 09/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Pori,Finland,61.6985,21.496296,Yes,Wet weight,Perca fluviatilis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Fish (22486),Muscle,78.0,,Finland,biota,,,,,,,
22325,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 07,"Fri, 08/13/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Kotka,Finland,60.401333,26.953167,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,93.3,,Finland,biota,,,,,,,
22326,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 07,"Fri, 08/13/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Kotka,Finland,60.401333,26.953167,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,93.3,,Finland,biota,,,,,,,
22327,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 08,"Mon, 08/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Helsinki,Finland,60.086833,24.913,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,90.1,,Finland,biota,,,,,,,
22328,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 08,"Mon, 08/02/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Helsinki,Finland,60.086833,24.913,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,90.1,,Finland,biota,,,,,,,
22329,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 09,"Mon, 08/09/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Pori,Finland,61.494833,21.379833,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,89.5,,Finland,biota,,,,,,,
22330,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 09,"Mon, 08/09/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Pori,Finland,61.494833,21.379833,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,89.5,,Finland,biota,,,,,,,
22331,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 10,"Tue, 08/10/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Turku,Finland,60.144833,21.979833,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,90.9,,Finland,biota,,,,,,,
22332,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 10,"Tue, 08/10/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Turku,Finland,60.144833,21.979833,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Muscle,90.9,,Finland,biota,,,,,,,
22333,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 11,"Thu, 05/27/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Tvarminne,Finland,59.83611,22.918478,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,88.5,,Finland,biota,,,,,,,
22334,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 11,"Thu, 05/27/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Tvarminne,Finland,59.83611,22.918478,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,88.5,,Finland,biota,,,,,,,
22335,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 12,"Tue, 08/31/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #10,Hanko,Finland,59.83611,22.918478,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,88.5,,Finland,biota,,,,,,,
22336,HELCOM pre-EMPT,Real Sample,Soft body from blue mussel in Finland HELCOM pre-EMPT 12,"Tue, 08/31/2021 - 00:00","Tue, 01/11/2022 - 00:00",LC-Bruker maXis QTOF: Submission #11,Hanko,Finland,59.83611,22.918478,Yes,Wet weight,Mytilus edulis,,,Baltic Sea,,Marine environment,,Baltic Sea,,Mussel (22515),Soft body,88.5,,Finland,biota,,,,,,,
