ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Barometric pressure (kPa),Name of wider sapling area,Relative humidity (%),Sample Matrix,Sampling height above sea level (m),Temperature,Wind direction,Wind speed (km/h),matrix
22777,Fire_Kagghamra,Real Sample,Sample 1_01,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22778,Fire_Kagghamra,Real Sample,Sample 1_02,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22779,Fire_Kagghamra,Real Sample,Sample 1_03,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22781,Fire_Kagghamra,Blank Sample,Sample 2_01,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22782,Fire_Kagghamra,Blank Sample,Sample 2_02,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22783,Fire_Kagghamra,Blank Sample,Sample 2_03,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22784,Fire_Kagghamra,Blank Sample,Sample 3_01,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22785,Fire_Kagghamra,Blank Sample,Sample 3_02,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22786,Fire_Kagghamra,Blank Sample,Sample 3_03,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22787,Fire_Kagghamra,Blank Sample,Sample 4_01,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22788,Fire_Kagghamra,Blank Sample,Sample 4_02,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22789,Fire_Kagghamra,Blank Sample,Sample 4_03,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22790,Fire_Kagghamra,Blank Sample,Sample 5_01,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22791,Fire_Kagghamra,Blank Sample,Sample 5_02,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22792,Fire_Kagghamra,Blank Sample,Sample 5_03,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22793,Fire_Kagghamra,Blank Sample,Sample 6_01,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22794,Fire_Kagghamra,Blank Sample,Sample 6_02,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
22795,Fire_Kagghamra,Blank Sample,Sample 6_03,,,22776,,Sweden,,,,,,Ambient air - Periurban (22243),,,,,ambient-air
