ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Groundwater fraction,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Sludge total organic carbon (% of total dry weight)
23173,Destruction of the Kakhovka Dam GC,Blank Sample,Blank sample after Kakhovka dam deconstruction,"Fri, 04/07/2023 - 01:00","Wed, 08/30/2023 - 01:00",65,Kherson,,47.02,32.8,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23174,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-01 GC,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Kherson,,46.63497,32.6335479,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dienper river,Dienper river basin,,,Spot sampling,surface-water,,,,,,
23175,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-02 GC,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Bilozirka,,46.6327228,32.4526822,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23176,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Sofiivka in Ukraine after Kakhovka dam deconstruction DnieperII-03 GC,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Sofiivka,,46.5899276,32.2622886,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23177,Destruction of the Kakhovka Dam GC,Real Sample,UoA_GC-APCI-QTOF_Surface water from Radisnyi Sad in Ukraine after Kakhovka dam deconstruction DnieperII-04 GC,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Radisnyi Sad,,46.90646,31.993389,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23178,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Dmytrivka in Ukraine after Kakhovka dam deconstruction DnieperII-05 GC,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:20",65,Dmytrivka,,46.631319,31.720542,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23179,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-06 GC,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Snihurivka,,47.075276,32.823702,River water,,,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23182,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-08 GC,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Kherson,,46.695732,31.974504,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23183,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-09 GC,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Bilozirka,,46.632732,32.4526916,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23184,Destruction of the Kakhovka Dam GC,Real Sample,Surface water from Odesa in Ukraine after Kakhovka dam deconstruction DnieperII-10 GC,"Wed, 07/05/2023 - 03:00","Wed, 08/30/2023 - 03:00",65,Odesa,,46.39935,30.7603,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
