ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Capacity population equivalent,Daily flow m^3/day,Dissolved organic carbon (mg/L),MES Dry matter content (mg/L),pH,Proxy pressures,River basin,Sludge retention time (days),Temperature (°C),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
23716,CLEANWATER,Real Sample,EFF-3-1,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:47",23172,,,37.1816733,-3.6082569,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.1816733
23718,CLEANWATER,Real Sample,EFF-3-3,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:48",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23719,CLEANWATER,Real Sample,EFF-4-1,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:49",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23720,CLEANWATER,Real Sample,EFF-4-2,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:49",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23721,CLEANWATER,Real Sample,EFF-4-3,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:50",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23722,CLEANWATER,Real Sample,EFF-5-1,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:51",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23723,CLEANWATER,Real Sample,EFF-5-2,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:51",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23724,CLEANWATER,Real Sample,EFF-5-3,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:52",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23725,CLEANWATER,Real Sample,INF-3-1,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:53",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23726,CLEANWATER,Real Sample,INF-3-2,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:53",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23727,CLEANWATER,Real Sample,INF-3-3,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:54",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23728,CLEANWATER,Real Sample,INF-4-1,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:55",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23729,CLEANWATER,Real Sample,INF-4-2,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:55",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23731,CLEANWATER,Real Sample,INF-5-2,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:56",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23732,CLEANWATER,Real Sample,INF-5-3,"Fri, 09/15/2023 - 03:00","Mon, 07/22/2024 - 21:56",23172,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
23733,CLEANWATER,Real Sample,N-EFF-3-1,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 03:57",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23734,CLEANWATER,Real Sample,N-EFF-3-2,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 04:24",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23735,CLEANWATER,Real Sample,N-EFF-3-3,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 04:50",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23736,CLEANWATER,Real Sample,N-EFF-4-1,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 13:40",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23737,CLEANWATER,Real Sample,N-EFF-4-2,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 14:07",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23738,CLEANWATER,Real Sample,N-EFF-4-3,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 14:33",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23739,CLEANWATER,Real Sample,N-EFF-5-1,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 22:30",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23740,CLEANWATER,Real Sample,N-EFF-5-2,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 22:57",23559,,,37.1816728,-3.6082539,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.1816728
23741,CLEANWATER,Real Sample,N-EFF-5-3,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 23:23",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Effluent wastewater,,Dissolved fraction,37.188424
23742,CLEANWATER,Real Sample,N-INF-3-1,"Fri, 09/15/2023 - 03:00","Tue, 05/21/2024 - 05:17",23559,,,37.188424,-4.0605,,,,,,,Guadalquivir,,,,,,Waste water - Municipal,Influent wastewater,,Dissolved fraction,37.188424
