ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix
23309,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at East chalenche SD01,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Mwanza,,-2.125,32.554733,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.558,,sediment
23310,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at East chalenche SD01,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Mwanza,,-2.125,32.554733,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.558,,sediment
23311,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at North Soswa island SD02,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Mwanza,,-1.97403,32.3933,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,0.582,,,sediment
23312,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at North Soswa island SD02,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Mwanza,,-1.97403,32.3933,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.582,,sediment
23313,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Emin pasha SD03,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Biharamulo,,-2.4847,31.0985,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.13,,sediment
23314,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Emin pasha SD03,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Biharamulo,,-2.4847,31.0985,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.13,,sediment
23315,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Emin pasha SD04,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,,,-2.57865,31.824383,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.105,,sediment
23316,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Emin pasha SD04,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,,,-2.57865,31.824383,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.105,,sediment
23317,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mazinga SD05,"Tue, 10/01/2019 - 15:00","Wed, 08/23/2023 - 15:00",10,Biharamulo,,-2.063717,31.716417,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.248,,sediment
23318,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mazinga SD05,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Biharamulo,,-2.063717,31.716417,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.248,,sediment
23319,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at North of goziba SD07,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Mwanza,,-1.149783,32.63454,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.642,,sediment
23320,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at North of goziba SD07,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Mwanza,,-1.149783,32.63454,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.642,,sediment
23321,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Lubafu bay SD09,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Bukoba,,-1.044383,31.793133,Victoria Lake,,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.0643,,sediment
23322,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Lubafu bay SD09,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Bukoba,,-1.044383,31.793133,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.0643,,sediment
23323,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off sango bay SD10,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Masaka,,-0.794417,31.9623,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.234,,sediment
23324,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off sango bay SD10,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Masaka,,-0.794417,31.9623,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.234,,sediment
23325,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at West Lujabwa SD11,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Masaka,,-0.80565,32.16645,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.346,,sediment
23326,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at West Lujabwa SD11,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Masaka,,-0.80565,32.16645,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.346,,sediment
23327,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Kagege gulf SD12,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Masaka,,-0.5944,31.891483,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.106,,sediment
23328,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Kagege gulf SD12,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Masaka,,-0.5944,31.891483,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.106,,sediment
23329,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mbugwe island SD13,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,-0.415033,32.431017,Viktoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Viktoria Lake,,Spot sampling,,0.329,,sediment
23330,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mbugwe island SD13,"Tue, 10/01/2019 - 15:00","Wed, 08/23/2023 - 15:00",11,Kampala,,-0.415033,32.431017,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.329,,sediment
23331,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Off Bukasa SD14,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,-0.489017,32.571633,Victoria Lake,(Whole) Fraction < 2mm,,Sedimenet-Lake,Victoria Lake,,Spot sampling,,0.538,,sediment
23332,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Off Bukasa SD14,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,-0.489017,32.571633,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.538,,sediment
23333,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mid Lake SD15,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,-0.982967,32.931667,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.657,,sediment
23334,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mid Lake SD15,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,-0.982967,32.931667,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.657,,sediment
23335,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Lutoboka channel SD16,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Masaka,,-0.279617,32.28065,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.129,,sediment
23336,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Lutoboka channel SD16,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Masaka,,-0.279617,32.28065,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.129,,sediment
23337,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Salysbury channel SD17,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,-0.121483,32.406267,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.228,,sediment
23338,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Salysbury channel SD17,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,-0.121483,32.406267,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.228,,sediment
23339,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Murchsion bay SD18,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,0.015117,32.61205,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.127,,sediment
23340,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Murchsion bay SD18,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,0.015117,32.61205,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.127,,sediment
23341,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at North of bugaia SD20,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,0.0796,33.19070002,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victora Lake,,Spot sampling,,0.345,,sediment
23342,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at North of bugaia SD20,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,0.0796,33.1907,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.345,,sediment
23343,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Lyabana SD21,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,-0.242933,33.0892,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.658,,sediment
23344,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Lyabana SD21,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,-0.242933,33.0892,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.658,,sediment
23345,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Nambaga SD23,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,0.162034,33.479533,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.165,,sediment
23346,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Nambaga SD23,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,0.162034,33.479533,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.165,,sediment
23347,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off luvia SD24,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,0.012167,33.447133,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.364,,sediment
23348,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off luvia SD24,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,0.012167,33.447133,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.364,,sediment
23349,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Sigulu SD25,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,0.07814,33.675717,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.229,,sediment
23350,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Sigulu SD25,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,0.07814,33.675717,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.229,,sediment
23351,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Port Victoria SD26,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,0.0555,33.89095,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.171,,sediment
23352,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Port Victoria SD26,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,0.0555,33.89095,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.171,,sediment
23353,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at kamogwe island SD27,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,-0.2364,33.903333,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.43,,sediment
23354,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at kamogwe island SD27,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,-0.2364,33.903333,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.43,,sediment
23355,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mageta island SD28,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,-0.115633,33.967933,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.17,,sediment
23356,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Mageta island SD28,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,-0.115633,33.967933,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.17,,sediment
23357,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Lolwe SD29,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,-0.164633,33.62785,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.51,,sediment
23358,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Lolwe SD29,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,-0.164633,33.62785,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.51,,sediment
23359,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off mfangano SD31,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Jinja,,-0.4249,33.765267,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.6,,sediment
23360,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off mfangano SD31,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Jinja,,-0.4249,33.765267,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.6,,sediment
23361,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Ngodhe island SD32,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kisumu,,-0.345467,34.237633,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.13,,sediment
23362,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Ngodhe island SD32,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kisumu,,-0.345467,34.237633,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,0.13,,sediment
23363,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Luanda kotieno SD33,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kampala,,-0.373933,33.28553,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,5.0,,sediment
23364,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at Luanda kotieno SD33,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kampala,,-0.373933,33.28553,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,5.0,,sediment
23365,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Assembo bay SD34,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",10,Kisumu,,-0.287382,34.441617,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,7.0,,sediment
23366,Victoria Lake Sediments,Real Sample,Sediment from Victoria Lake at off Assembo bay SD34,"Tue, 10/01/2019 - 15:00","Mon, 08/21/2023 - 15:00",11,Kisumu,,-0.287382,34.441617,Victoria Lake,(Whole) Fraction < 2mm,,Sediment-Lake,Victoria Lake,,Spot sampling,,7.0,,sediment
