ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),matrix,Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),"Name of river, estuary, lake, reservoir or sea",Distance from the river source (km)
23436,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj1,"Wed, 11/15/2023 - 13:00",,23403,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23437,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj2,"Wed, 11/15/2023 - 13:00",,23403,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23438,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj3,"Wed, 11/15/2023 - 13:00",,23403,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23439,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj1,"Wed, 11/15/2023 - 13:00",,23403,,,49.68529998,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23440,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj2,"Wed, 11/15/2023 - 13:00",,23403,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23441,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Bensheim Inj3,"Wed, 11/15/2023 - 13:00",,23403,,,49.68530001,8.5899,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23442,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj1,"Wed, 11/15/2023 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23443,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj2,"Wed, 11/15/2023 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23444,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Fehlheim Inj3,"Wed, 11/15/2023 - 13:00",,23403,,,49.7047,8.5677,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
23465,HLNUG: ERMES-ii-Rh(e)in 2022-2025,Real Sample,Groundwater Gernsheim Inj1,"Wed, 11/15/2023 - 13:00",,23433,,,49.7381,8.504,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
