ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,webform_submission_value_3,webform_submission_value_4,webform_submission_value_7,webform_submission_value_11,webform_submission_value_12,webform_submission_value_13,webform_submission_value_14,webform_submission_value_15,webform_submission_value_16,webform_submission_value_17,webform_submission_value_20,matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
24109,Milby2024,Real Sample,"Sample #: 24/2297
Matrix: Earth (Jord)",,,24106,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,
24110,Milby2024,Real Sample,"Sample #: 24/2298
Matrix: Soil (Jord)",,,24106,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,
24111,Milby2024,Real Sample,"Sample #: 24/2299
Matrix: Soil (Jord)",,,24106,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,
24112,Milby2024,Real Sample,"Sample #: 24/2300
Matrix: Soil (Jord)",,,24106,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,
24113,Milby2024,Real Sample,"Sample #: 24/2301
Matrix: Soil (Jord)",,,24106,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,
24115,Milby2024,Real Sample,"Sample #: 24/2302
Matrix: Worm (Meitemark)
Dilluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Earthworm (22633),,,,
24116,Milby2024,Real Sample,"Sample #: 24/2303
Matrix: Earthworm (Meitemark)
Dilluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Earthworm (22633),,,,
24117,Milby2024,Real Sample,"Sample #: 24/2304
Matrix: Earthworm (Meitemark)
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Earthworm (22633),,,,
24118,Milby2024,Real Sample,"Sample #: 24/2305
Matrix: Earthworm (Meitemark)
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Earthworm (22633),,,,
24119,Milby2024,Real Sample,"Sample #: 24/2306
Matrix: Earthworm (Meitemark)
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Earthworm (22633),,,,
24121,Milby2024,Real Sample,"Sample #: 24/2309
Matrix: Gråtrostegg (House Sparrow Egg)
Diluted 10x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,,,,,House Sparrow (22634),Egg,,,
24122,Milby2024,Real Sample,"Sample #: 24-2310
Matrix: Gråtrostegg (House Sparrow Egg)
Diluted 10x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,,,,,House Sparrow (22634),egg,,,
24123,Milby2024,Real Sample,"Sample #: 24/2311
Matrix: Gråtrostegg (House Sparrow Egg)
Diluted 10x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,,,,,House Sparrow (22634),egg,,,
24124,Milby2024,Real Sample,"Sample #: 24/2312
Matrix: Gråtrostegg (House Sparrow Egg)
Diluted 10x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,,,,,House Sparrow (22634),egg,,,
24125,Milby2024,Real Sample,"Sample #: 24/2313
Matrix: Gråtrostegg (House Sparrow Egg)
Diluted 10x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,,,,,House Sparrow (22634),egg,,,
24126,Milby2024,Real Sample,"Sample #: 24/2314
Matrix: rottelever (Rat Liver)
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Rat (22635),Liver,,,
24127,Milby2024,Real Sample,"Sample #: 24/2315
Matrix: Rat liver
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,,,,,Rat (22635),Liver,,,
24128,Milby2024,Real Sample,"Sample #: 24/2316
Matrix: Rat liver
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Rat (22635),Liver,,,
24129,Milby2024,Real Sample,"Sample #: 24/2317
Matrix: Rat Liver
Diluted 50x before injection",,,GC-QToF-72000: Submission #102,,,,,,,,,,,,,,,,biota,,,,,,,,Terrestrial environment,,,,Rat (22635),Liver,,,
