ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Barometric pressure (kPa),Name of wider sapling area,Relative humidity (%),Sample Matrix,Sampling height above sea level (m),Temperature,Wind direction,Wind speed (km/h),matrix,Location,Category,Category.1,Category.2,Proxy pressures,Proxy pressures.1,Proxy pressures.2
25149,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment2A-LC-HRMS. PDMS foam disks (14 cm ⌀) were pre-deployed for 40 days on a rooftop station Stockholm  citycenter,,"Wed, 01/15/2025 - 15:00",25157,,,,,,,,,,,,,ambient-air,,,,,,,
25150,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment2B - LC-HRMS. Large PDMS foam disks (14 cm ⌀)  pre-deployed for 40 days. Rooftop station city centre Stockholm,,"Wed, 01/15/2025 - 15:00",25157,,,,,,,,,,,,,ambient-air,,,,,,,
25158,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment-2A - LC-HRMS. PDMS foam disks (14 cm ⌀) pre-deployed for 40 days. Rooftop station city centre Stockholm,,"Wed, 01/15/2025 - 15:00",25156,,,,,,,,,,,,,ambient-air,,,,,,,
25159,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment-2B - LC-HRMS. PDMS foam disks (14 cm ⌀) pre-deployed for 40 days. Rooftop station city centre Stockholm,,"Wed, 01/15/2025 - 15:00",25156,,,,,,,,,,,,,ambient-air,,,,,,,
25151,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment3 - LC-HRMS - small PDMS foam disks (2.3 cm ⌀)pre-deployed in an office at Stockholm University campus 40 days,,,25157,,,,,,,,,,,,,indoor-air,,,,,,,
25152,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment3B - LC-HRMS - small PDMS foam disks (2.3 cm ⌀)pre-deployed in an office at Stockholm University campus 40days,,,25157,,,,,,,,,,,,,indoor-air,,,,,,,
25153,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment4A-LC-HRMS-40 days_indoor air - Office in Barcelona _ PDMS foams,,,25157,,,,,,,,Indoor air - Office,,,,,indoor-air,,,,,,,
25154,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,Experiment4B-LC-HRMS-40 days_indoor air - Office in Barcelona _ PDMS foams,,,25157,,,,,,,,Indoor air - Office,,,,,indoor-air,,,,,,,
25160,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment3-LC-HRMS - PDMS foam disks (2.3 cm ⌀)pre-deployed in an office at Stockholm University Campus 40days,,"Wed, 01/15/2025 - 15:00",25156,,,,,,,,,,,,,indoor-air,,,,,,,
25161,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment3B-LC-HRMS - PDMS foam disks (2.3 cm ⌀)pre-deployed in an office at Stockholm University Campus 40days,,"Wed, 01/15/2025 - 15:00",25156,,,,,,,,,,,,,indoor-air,,,,,,,
25162,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment4A-LC-HRMS-40 days_indoor air - Office in Barcelona _ PDMS foams,,,25156,,,,,,,,Indoor air - Office,,,,,indoor-air,,,,,,,
25163,NTS of airborne organic substances in PDMS-foam samplers LC-HRMS IDAEA-CSIC DanielGutierrezMartin,Real Sample,POS_Experiment4B-LC-HRMS-40 days_indoor air - Office in Barcelona _ PDMS foams,,,25156,,,,,,,,Indoor air - Office,,,,,indoor-air,,,,,,,
