ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),"Name of river, estuary, lake, reservoir or sea",Distance from the river source (km),Capacity population equivalent,Daily flow m^3/day,MES Dry matter content (mg/L),River basin,Sludge retention time (days),Type of industry,Type of tertiary treatment,Type of treatment plant,Type of wastewater,Type of wastewater sample,Volume of the reactor (m^3),Wastewater fraction,Latitude.1
25362,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 132,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25363,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 141,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25364,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 215,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25365,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 287,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25366,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample TB,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25376,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 132,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,Whole water with no separation of liquid and SPM phases,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25377,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 141,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25378,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 215,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25379,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample 287,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25380,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,groundwater sample TB,"Wed, 05/10/2023 - 13:00","Wed, 05/17/2023 - 13:00",23251,,Germany,,,,,,,,,,,groundwater,,,,,,,,,,,,,,,,,,,
25367,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,surface water OGeW1,"Mon, 05/15/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25368,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,surface water OGew2,"Mon, 05/15/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25369,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,surface water OGew3,"Mon, 05/15/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,,,,,,,,,surface-water,River water,,,,,,,,,,,,,,,,,,
25370,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,surface water OGew4,"Mon, 05/15/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,,,,,,,,,surface-water,River water,Whole water with no separation of liquid and SPM phases,,,,,,,,,,,,,,,,,
25371,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,surface water OGew5,"Mon, 05/15/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,,,,,,,,,surface-water,River water,Whole water with no separation of liquid and SPM phases,,,,,,,,,,,,,,,,,
25372,"LUBW ERMES-ii-Rh(e)in 2022-2025, campaign May 2023",Real Sample,channel near sewage treatment plant,"Mon, 05/15/2023 - 13:00","Wed, 05/17/2023 - 13:00",23250,,Germany,,,,,,,,,,,surface-water,River water,Whole water with no separation of liquid and SPM phases,,,,,,,,,,,,,,,,,
