ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Groundwater fraction,River basin name,Proxy pressures,Type of sampling depth,Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L)
20177,JDS4,Real Sample,Groundwater from Samorin Kalinkovo,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",11,Samorin,,48.0297701,17.283801,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20178,JDS4,Real Sample,Groundwater from Samorin Kalinkovo,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",10,Samorin,,48.0297701,17.283801,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20179,JDS4,Real Sample,Groundwater from Novi Sad,"Mon, 07/22/2019 - 22:00","Mon, 06/17/2019 - 22:00",11,Novi Sad,,45.2585137,19.885713,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20180,JDS4,Real Sample,Groundwater from Novi Sad,"Mon, 07/22/2019 - 22:00","Mon, 06/17/2019 - 22:00",10,Novi Sad,,45.2585137,19.8857131,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20181,JDS4,Real Sample,Groundwater from Slobozia,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Slobozia,,43.881083,25.91475,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20182,JDS4,Real Sample,Groundwater from Slobozia,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Slobozia,,43.881083,25.91475,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20183,JDS4,Real Sample,Groundwater from Surany,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",11,Szentendre,,47.728225,19.12368031,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,7.8,13.5,
20184,JDS4,Real Sample,Groundwater from Surany,"Wed, 07/10/2019 - 22:00","Wed, 06/05/2019 - 22:00",10,Szentendre,,47.728225,19.12368031,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,7.8,13.5,
20185,JDS4,Real Sample,Groundwater from Topolje,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",11,Beli Manastir,,45.866695,18.749972,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20186,JDS4,Real Sample,Groundwater from Topolje,"Mon, 07/08/2019 - 22:00","Mon, 06/03/2019 - 22:00",10,Beli Manastir,,45.866695,18.749972,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20187,JDS4,Real Sample,Groundwater from Slivo,"Tue, 07/30/2019 - 22:00","Tue, 06/25/2019 - 22:00",11,Ruse,,43.976702,26.198527,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,7.03,15.1,
20188,JDS4,Real Sample,Groundwater from Slivo,"Tue, 07/30/2019 - 22:00","Tue, 06/25/2019 - 22:00",10,Ruse,,43.976702,26.198527,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,7.03,15.1,
20189,JDS4,Real Sample,Groundwater from Lobau,"Mon, 07/29/2019 - 22:00","Mon, 06/24/2019 - 22:00",11,Vienna,,48.35218,14.02645,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20190,JDS4,Real Sample,Groundwater from Lobau,"Mon, 07/29/2019 - 22:00","Mon, 06/24/2019 - 22:00",10,Vienna,,48.35218,14.02645,Whole water with determination on each separate phase (sum of all phases),,,Spot sampling,10,,,
20191,JDS4,Blank Sample,Procedural Blank,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",11,Samorin,,48.0297701,17.283801,Dissolved fraction,,,Spot sampling,0,,,
20192,JDS4,Blank Sample,Procedural Blank,"Thu, 07/18/2019 - 22:00","Thu, 06/13/2019 - 22:00",10,Samorin,,48.0297701,17.283801,Dissolved fraction,,,Spot sampling,0,,,
