,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
0,19659,Antarctic Station Vernadsky,Blank Sample,Procedural Blank for Ant-2020-1 to Ant-2020-10,"Mon, 09/30/2019 - 22:00","Mon, 08/26/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vernadsky station,,-65.2458041,-64.257311,1,Wet weight,,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Muscle,,,Ukraine
1,19660,Antarctic Station Vernadsky,Blank Sample,Procedural Blank for Ant-2020-1 to Ant-2020-10,"Mon, 09/30/2019 - 22:00","Mon, 08/26/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vernadsky station,Ukraine,-65.245804,-64.257311,1,Wet weight,,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Muscle,,,Ukraine
2,19661,Antarctic Station Vernadsky,Real Sample,Eggs of Gentoo Penguin from Antarctica (Ant-2020-10),"Wed, 01/02/2019 - 22:00","Wed, 11/28/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vernadsky station,Ukraine,-65.256165,-64.255777,1,Wet weight,Pygoscelis papua,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
3,19662,Antarctic Station Vernadsky,Real Sample,Eggs of Gentoo Penguin from Antarctica (Ant-2020-10),"Wed, 01/02/2019 - 22:00","Wed, 11/28/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vernadsky station,Ukraine,-65.256165,-64.255777,1,Wet weight,Pygoscelis papua,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
4,19663,Antarctic Station Vernadsky,Real Sample,Eggs of Gentoo Penguin from Antarctica (Ant-2020-9),"Wed, 01/02/2019 - 22:00","Wed, 11/28/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vernadsky station,Ukraine,-65.248631,-64.241463,1,Wet weight,Pygoscelis papua,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
5,19664,Antarctic Station Vernadsky,Real Sample,Eggs of Gentoo Penguin from Antarctica (Ant-2020-9),"Wed, 01/02/2019 - 22:00","Wed, 11/28/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vernadsky station,Ukraine,-65.248631,-64.241463,1,Wet weight,Pygoscelis papua,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
6,19665,Antarctic Station Vernadsky,Real Sample,Eggs of Adelie Penguin from Antarctica (Ant-2020-8),"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vernadsky station,Ukraine,-65.233268,-64.167437,1,Wet weight,Pygoscelis adeliae,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
7,19666,Antarctic Station Vernadsky,Real Sample,Eggs of Adelie Penguin from Antarctica (Ant-2020-8),"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vernadsky station,Ukraine,-65.233268,-64.167437,1,Wet weight,Pygoscelis adeliae,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
8,19667,Antarctic Station Vernadsky,Real Sample,Eggs of Adelie Penguin from Antarctica (Ant-2020-7),"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,Vernadsky station,Ukraine,-65.233757,-64.162738,1,Wet weight,Pygoscelis adeliae,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
9,19668,Antarctic Station Vernadsky,Real Sample,Eggs of Adelie Penguin from Antarctica (Ant-2020-7),"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,Vernadsky station,Ukraine,-65.233757,-64.162738,1,Wet weight,Pygoscelis adeliae,,,Antarctica,,Coastal region,,Antarctica,,Other (22510),Other,,,Ukraine
