Liver,Muscle,Egg,Other,id
True,True,False,False,NS00031630
True,True,True,True,NS00026810
True,True,False,False,NS00057262
True,False,False,False,NS00075435
True,True,True,True,NS00103524
True,False,False,False,NS00034588
True,True,True,True,NS00023620
True,True,False,False,NS00089538
True,True,True,True,NS00003571
True,False,False,False,NS00010129
True,True,False,True,NS00020074
True,True,True,True,NS00013838
True,False,False,False,NS00018040
True,False,False,False,NS00028286
True,False,False,False,NS00067085
True,False,False,False,NS00065126
True,True,True,False,NS00033412
True,True,False,False,NS00002769
True,True,True,True,NS00103571
True,False,False,False,NS00102971
True,True,True,False,NS00066302
True,True,False,True,NS00091056
True,True,True,True,NS00103380
True,False,False,False,NS00061034
True,False,False,False,NS00025276
True,True,False,False,NS00006123
True,False,False,False,NS00055086
True,True,True,False,NS00012139
True,True,True,False,NS00027071
True,False,False,False,NS00064368
True,True,False,False,NS00039543
True,True,True,True,NS00027511
True,True,False,False,NS00014345
True,False,False,False,NS00031458
True,False,False,False,NS00041923
True,False,False,False,NS00103182
True,True,True,True,NS00019591
True,True,True,True,NS00075477
True,True,False,False,NS00030032
True,True,False,False,NS00065112
True,False,False,False,NS00063113
True,False,False,True,NS00090396
True,False,False,False,NS00069001
True,False,False,True,NS00007379
True,False,False,False,NS00088210
True,True,False,False,NS00076875
True,True,False,True,NS00081814
True,True,True,False,NS00102518
True,False,False,False,NS00007079
True,True,True,True,NS00001071
True,False,False,False,NS00031043
True,False,False,False,NS00069043
True,True,False,True,NS00013184
True,False,False,True,NS00021737
True,False,False,False,NS00059956
True,False,False,False,NS00102798
True,True,False,True,NS00028562
True,False,False,False,NS00098129
True,False,False,False,NS00097281
True,False,False,False,NS00097375
True,True,True,True,NS00024563
True,True,True,False,NS00049006
True,True,False,True,NS00032204
True,True,True,True,NS00073053
True,False,False,False,NS00000345
True,False,False,False,NS00049736
True,False,False,False,NS00048600
True,False,False,False,NS00001756
True,True,False,True,NS00103666
True,True,True,False,NS00039671
True,True,False,False,NS00051089
True,False,False,False,NS00023466
True,True,True,True,NS00015352
True,True,True,False,NS00066049
True,True,True,True,NS00051850
True,False,False,False,NS00049683
True,False,False,False,NS00013935
True,True,True,True,NS00024955
True,True,False,False,NS00056266
True,False,False,False,NS00069814
True,True,True,True,NS00051748
True,True,True,True,NS00006341
True,True,True,False,NS00113911
True,False,False,False,NS00024349
True,True,True,True,NS00057829
True,False,False,False,NS00048853
True,True,False,False,NS00070799
